"Title:","Unemployment from the Employment and Unemployment - Non-Seasonally Adjusted Database"
"SubTitle:","Counties within State"
"Time:","01/1990 - 09/2022"
"Unit of Measure:","#","#","#","#","#","#","#","#","#","#","#","#"
"Citation:","Bureau of Labor Statistics (2022-11-20). Employment and Unemployment - Non-Seasonally Adjusted: Unemployment | Albany, Berkshire, Goshen, Lincoln, Madison, Newport, Providence, Saratoga, Suffolk, Washington, Worcester, 01/1990 - 09/2022. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  002-013-003 doi:https://doi.org/10.6068/DP184A09C29E252"
"ColumnCount:",13
"RowCount:",393

"Time","Albany, Wyoming, #","Albany, New York, #","Berkshire, Massachusetts, #","Goshen, Wyoming, #","Lincoln, Wyoming, #","Madison, New York, #","Newport, Rhode Island, #","Providence, Rhode Island, #","Saratoga, New York, #","Suffolk, Massachusetts, #","Washington, Rhode Island, #","Worcester, Massachusetts, #"
"11/2009",887,10772,5303,334,647,2807,4483,39493,7833,28430,6450,34853
"12/2009",1026,11089,5644,397,784,3243,4823,39797,8424,28287,6960,35703
"01/2010",1194,12424,6699,437,945,3521,6018,43606,9406,31548,8531,40739
"02/2010",1159,12240,6652,418,958,3539,5841,43172,9538,30038,8375,39783
"03/2010",1178,11556,6516,436,973,3343,5623,42179,8969,28855,8125,38774
"04/2010",1051,11156,5733,408,922,2990,4485,40240,8263,27832,7731,35467
"05/2010",1056,10921,5478,399,805,2761,4171,40072,7886,28570,7227,35768
"06/2010",1076,11716,5607,422,741,2931,4071,39464,8067,31099,6955,36534
"07/2010",972,11987,5648,386,687,2904,4307,41691,8201,31718,7501,37342
"08/2010",948,11721,5328,386,647,2841,4306,41339,7996,29771,7470,35740
"09/2010",846,11085,5298,352,598,2722,3994,38683,7742,29333,6854,34646
"10/2010",889,10981,5011,344,627,2676,4187,38358,7665,27675,6895,32365
"11/2010",963,11129,5411,381,738,2824,4677,39657,8017,27608,7466,32960
"12/2010",960,10954,5496,358,760,3029,4898,38351,8003,26438,7470,32977
"01/2011",1063,11896,6337,419,918,3318,6001,40696,8730,28618,8478,36661
"02/2011",1051,11550,6110,407,879,3302,5683,39346,8667,26867,8232,35197
"03/2011",1066,10782,5884,417,873,3083,5211,38291,8012,25286,7783,33864
"04/2011",945,10372,5228,405,836,2785,4260,36369,7398,24491,6842,31267
